designation,abs_mag,slope_param,epoch,mean_anomaly,arg_perihelion,long_asc_node,inclination,eccentricity,mean_motion,semi_major_axis,uncertainty,reference,num_observations,num_oppositions,first_obs,separator,last_obs,rms_residual,coarse_perturbers,precise_perturbers,computer,hex_flags,designation_full,last_obs_date,orbit_type,is_neo
00786,8.87,0.15,K25BL,254.68781,134.18715,89.64733,14.51877,0.1524537,0.17284766,3.1917367,0,E2025-V46,5505.0,51,1914,-,2025,0.63,M-v,3Ek,MPCORBFIT,0000,(786) Bredichina,2025-11-06,Type 0,False
00787,9.64,0.15,K25BL,126.88123,126.20853,183.78181,14.84789,0.1288914,0.24342787,2.5403244,0,E2025-V65,5085.0,55,1915,-,2025,0.7,M-v,3Ek,MPCORBFIT,0000,(787) Moskva,2025-11-08,Type 0,False
00788,8.78,0.15,K25BL,60.62827,47.39768,177.66918,14.35557,0.1363573,0.17854818,3.1234347,0,E2025-V34,8230.0,59,1914,-,2025,0.6,M-v,3Ek,MPCORBFIT,0000,(788) Hohensteina,2025-11-03,Type 0,False
00789,11.35,0.15,K25BL,107.27708,43.38818,232.55704,10.77642,0.1467246,0.22395995,2.6854834,0,E2025-V65,7031.0,43,1915,-,2025,0.56,M-v,3Ek,MPCORBFIT,0000,(789) Lena,2025-11-09,Type 0,False
00790,8.04,0.15,K25BL,261.1876,37.51321,251.79758,20.56606,0.1563249,0.15716764,3.4006398,0,MPO950959,5645.0,48,1921,-,2025,0.65,M-v,3Ek,MPCLINUX,0000,(790) Pretoria,2025-06-21,Type 0,False
00791,9.33,0.15,K25BL,29.59474,201.83699,129.77972,16.37656,0.1917496,0.17852773,3.1236732,0,E2025-V57,8621.0,50,1915,-,2025,0.56,M-v,3Ek,MPCORBFIT,0000,(791) Ani,2025-11-08,Type 0,False
00792,10.15,0.15,K25BL,25.21905,226.6164,265.03078,8.62768,0.1306944,0.2321,2.6223216,0,MPO950959,4811.0,47,1915,-,2025,0.69,M-v,3Ek,MPCLINUX,0000,(792) Metcalfia,2025-04-16,Type 0,False
00793,10.21,0.15,K25BL,5.79799,308.44641,35.94198,15.77626,0.1230183,0.21078007,2.7962952,0,E2025-V57,10647.0,41,1907,-,2025,0.46,M-v,3Ek,MPCORBFIT,0000,(793) Arizona,2025-11-08,Type 0,False
00794,11.39,0.15,K25BL,27.1381,131.21885,160.38398,5.41769,0.2949043,0.17780505,3.1321315,0,E2025-V34,5991.0,41,1915,-,2025,0.62,M-v,3Ek,MPCORBFIT,0000,(794) Irenaea,2025-11-03,Type 0,False
00795,10.06,0.15,K25BL,279.30216,189.89875,17.25038,19.02482,0.0997069,0.21589797,2.7519276,0,E2025-V65,7586.0,53,1915,-,2025,0.53,M-v,3Ek,MPCORBFIT,0000,(795) Fini,2025-11-09,Type 0,False
